id,name,type,worldsfifty,lechef,tripadvisor,thebestchef,restaurant,geschlecht,alter,michelinstern,arbeitsort,herkunftsland,ausbildereins,ausbilderzwei,ausbilderdrei,ausbildervier,ausbilderfuenf,ausbildersechs,ausbildersieben,ausbilderacht
hawo,Harald Wohlfahrt,3,1000,21,1000,1000,1,1,5,3,1,1,187,142,9,1000,1000,1000,1000,1000
rema,Regis Marcon,3,1000,23,1000,1000,2,1,5,3,9,15,0,1000,1000,1000,1000,1000,1000,1000
yomu,Yoshihiro Murata,1,1000,24,1000,1000,2,1,5,7,8,7,1000,1000,1000,1000,1000,1000,1000,1000
jefr,Jean-Francoise Piege,3,1000,25,1000,1000,4,1,3,2,9,15,183,58,5,1000,1000,1000,1000,1000
bepa,Bernard Pacaud,3,1000,26,1000,1000,0,1,6,3,9,15,177,1000,1000,1000,1000,1000,1000,1000
jabo,Jacob Jan Boerma,1,1000,27,1000,1000,1,1,3,3,25,25,1000,1000,1000,1000,1000,1000,1000,1000
anca,Andreas Caminada,1,1000,28,1000,1000,4,1,3,3,26,8,1000,1000,1000,1000,1000,1000,1000,1000
chba,Christophe Bacquie,1,1000,30,1000,1000,0,1,1000,3,9,15,1000,1000,1000,1000,1000,1000,1000,1000
migu,Michel Guerard,3,1000,31,1000,1000,1,1,7,3,9,15,190,1000,1000,1000,1000,1000,1000,1000
chlesq,Christian Le Squer,3,1000,33,1000,1000,2,1,4,3,9,15,1000,1000,1000,1000,1000,1000,1000,1000
anluad,Andoni Luis Aduriz,3,1000,36,1000,1000,1,1,3,2,10,9,21,129,130,131,2,132,133,93
alco,Alexander Couillon,1,1000,38,1000,1000,1,1,3,2,9,28,1000,1000,1000,1000,1000,1000,1000,1000
pekn,Peter Knogl,1,1000,39,1000,1000,1,1,4,3,26,1,47,1000,1000,1000,1000,1000,1000,1000
svel,Sven Elverfeld,1,1000,40,1000,1000,1,1,4,3,1,1,118,119,120,1000,1000,1000,1000,1000
daba,Dan Barber,1,11,42,1000,1000,2,1,3,0,11,13,1000,1000,1000,1000,1000,1000,1000,1000
pego,Peter Goossens,3,50,43,1000,1000,3,1,4,3,23,23,143,1000,1000,1000,1000,1000,1000,1000
papa,Paul Pairet,3,41,46,1000,1000,3,1,4,3,28,15,1000,1000,1000,1000,1000,1000,1000,1000
alga,Alexandre Gauthier,1,1000,49,1000,1000,2,1,2,2,9,15,1000,1000,1000,1000,1000,1000,1000,1000
jion,Jiro Ono,1,1000,50,1000,1000,1,1,8,3,8,7,1000,1000,1000,1000,1000,1000,1000,1000
riek,Richard Ekkebus,1,24,1000,1000,1000,1,1,3,2,28,25,4,36,66,190,1000,1000,1000,1000
joth,Jonathan Tham,1,39,1000,1000,1000,1,1,2,1,12,32,1000,1000,1000,1000,1000,1000,1000,1000
dahun,Dan Hunter,1,44,1000,1000,1000,1,1,3,0,18,18,92,1000,1000,1000,1000,1000,1000,1000
jowi,Joachim Wissler,1,47,1000,1000,1000,1,1,4,3,1,1,64,1000,1000,1000,1000,1000,1000,1000
gema,German Martitegui,1,49,1000,1000,1000,1,1,4,0,30,10,191,1000,1000,1000,1000,1000,1000,1000
anad,andoni luis aduriz,1,9,1000,1000,1000,1,1,3,2,10,9,2,1000,1000,1000,1000,1000,1000,1000
anro,Ana Ros,1,48,1000,1000,1000,1,2,3,0,38,31,1000,1000,1000,1000,1000,1000,1000,1000
begr,Bertrand Grébaut,1,35,1000,1000,1000,1,1,2,1,34,15,1000,1000,1000,1000,1000,1000,1000,1000
besh,Ben Shewry,1,32,1000,1000,1000,1,1,3,0,13,12,28,1000,1000,1000,1000,1000,1000,1000
dasoin,Daniela Soto-Innes,1,25,1000,1000,1000,1,2,1,0,11,4,32,1000,1000,1000,1000,1000,1000,1000
dath,David Thompson,3,28,1000,1000,1000,1,1,3,1,6,12,1000,1000,1000,1000,1000,1000,1000,1000
enol,Enrique Olvera,3,20,1000,1000,1000,1,1,3,0,4,4,1000,1000,1000,1000,1000,1000,1000,1000
gaac,Gastón Acurio,3,33,1000,1000,1000,40,1,3,2,36,14,1000,1000,1000,1000,1000,1000,1000,1000
gaan,Gaggan Anand,1,7,1000,1000,1000,1,1,2,2,6,6,1000,1000,1000,1000,1000,1000,1000,1000
yona,Yoshihiro Narisawa,1,18,1000,1000,1000,1,1,4,2,8,7,11,95,113,134,1000,1000,1000,1000
here,heinz reitbauer,1,10,1000,1000,1000,1,1,3,2,2,2,7,8,9,10,11,1000,1000,1000
ismc,Isaac McHale,1,26,1000,1000,1000,1,1,2,1,15,19,1000,1000,1000,1000,1000,1000,1000,1000
josk,Joshua Skenes,1,37,1000,1000,1000,1,1,2,3,13,11,1000,1000,1000,1000,1000,1000,1000,1000
jova,Jorge Vallejo,1,22,1000,1000,1000,1,1,2,0,4,4,32,31,1000,1000,1000,1000,1000,1000
jumaar,Juan Mari Arzak,3,31,1000,1000,1000,1,1,6,3,10,9,1000,1000,1000,1000,1000,1000,1000,1000
niro,Niko Romito,1,43,1000,1000,1000,2,1,3,3,5,5,0,1000,1000,1000,1000,1000,1000,1000
rogu,Rodolfo Guzmán,1,42,1000,1000,1000,1,1,2,0,35,29,1000,1000,1000,1000,1000,1000,1000,1000
viar,Victor Arguinzoniz,1,6,1000,1000,1000,1,1,4,1,10,9,1000,1000,1000,1000,1000,1000,1000,1000
vlmu,Vladimir Mukhin,1,23,1000,1000,1000,1,1,2,0,3,3,144,145,1000,1000,1000,1000,1000,1000
zaha,Zaiyu Hasegawa,1,46,1000,1000,1000,1,1,2,2,8,7,1000,1000,1000,1000,1000,1000,1000,1000
brgr,Brett Graham,1,27,1000,1000,1000,1,1,2,2,18,18,1000,1000,1000,1000,1000,1000,1000,1000
